Name,ID,Year,Yahoo Fantasy Points,IP,Hits,Strikeouts,Walks,Earned Runs,Wins,Losses,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Freeland, Kyle",607536,2021,173.6,120.2,133,105,38,58,7,8,0.247,0.414,0.349,0.314,0.308,0.168,88.4,11.4,34.5,8.2,35.3,77.51781039,93.66971671,21.1,46.2
"Fried, Max",608331,2022,470.3,185.1,156,170,32,51,14,7,0.227,0.328,0.255,0.264,0.266,0.101,86.2,7.6,29.4,4,32.1,74.47691241,92.99622004,25.9,49.7
"Fried, Max",608331,2021,396.6,165.2,139,158,41,56,14,7,0.234,0.364,0.278,0.288,0.289,0.13,86.5,6.1,31.2,6.3,34.3,74.68684321,93.19241345,24.3,49
"Gallen, Zac",668678,2023,493,210,188,220,47,81,17,9,0.254,0.427,0.289,0.314,0.3,0.173,91.5,12.3,36.4,9.2,46.2,82.0249942,95.00387354,26.3,47.2
"Gallen, Zac",668678,2022,512,184,121,192,47,52,12,4,0.213,0.34,0.25,0.278,0.279,0.127,87.8,10.8,33,7.8,36.1,76.86662707,93.4526349,23,47.4
"Gallen, Zac",668678,2021,199.3,121.1,108,139,49,58,4,10,0.23,0.382,0.313,0.306,0.31,0.152,89.2,12.3,32.7,7.9,43,78.81064568,94.10607361,23.3,44.3
"Garcia, Luis",677651,2022,355.3,157.1,131,157,47,65,15,8,0.228,0.384,0.295,0.295,0.285,0.156,88.4,17.1,35.4,7.8,36.3,77.92819751,93.46698963,29.1,48.9
"Garcia, Luis",677651,2021,344.3,155.1,133,167,50,60,11,8,0.236,0.394,0.297,0.304,0.301,0.158,88.1,15.9,34.1,7.3,38.7,76.55956907,93.91783564,30.5,47.1
"Garrett, Braxton",666129,2023,330.6,159.2,154,156,29,65,9,7,0.275,0.441,0.307,0.328,0.318,0.167,90.2,7.4,32.2,7.8,45.1,78.93739891,95.01375896,25.3,47.2
"Gausman, Kevin",592332,2023,459,185,163,237,55,65,12,9,0.235,0.402,0.292,0.303,0.294,0.167,89.4,12.3,36.9,9.9,43.3,77.89758606,94.80319831,28.9,49.3
